rank,vanilla_token,vanilla_score,prefix_token,prefix_score
1,shirtless</w>,0.0280,dog</w>,0.0328
2,grass</w>,0.0233,tree</w>,0.0272
3,dog</w>,0.0207,snow</w>,0.0219
4,crowd</w>,0.0189,shirtless</w>,0.0180
5,hat</w>,0.0183,building</w>,0.0174
6,snow</w>,0.0161,bench</w>,0.0153
7,tree</w>,0.0160,restaurant</w>,0.0152
8,ball</w>,0.0148,boys</w>,0.0150
9,boy</w>,0.0145,jacket</w>,0.0136
10,mountain</w>,0.0143,men</w>,0.0135
11,brown</w>,0.0142,boy</w>,0.0125
12,men</w>,0.0141,grass</w>,0.0124
13,holding</w>,0.0140,jumping</w>,0.0123
14,street</w>,0.0133,beach</w>,0.0121
15,jacket</w>,0.0131,hat</w>,0.0121
16,three</w>,0.0125,crowd</w>,0.0120
17,glasses</w>,0.0120,mountain</w>,0.0118
18,girl</w>,0.0114,walks</w>,0.0117
19,looking</w>,0.0114,table</w>,0.0115
20,table</w>,0.0111,street</w>,0.0114
